Table name：,accountbook_user_permissions,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
No.,Name,Type,PK,FK,Nullable,Unique,Default,Index,FK constraint,Composite Unique,Check Constraint,Description
1,id,uuid,Y,,N,,gen_random_uuid(),,,,,
2,account_book_id,uuid,,Y,N,,,Y,account_books(id) ON DELETE CASCADE,cuq_account_user,,
3,user_id,uuid,,Y,N,,,Y,users(id) ON DELETE CASCADE,cuq_account_user,,
4,account_role,text,,,N,,"""editor""",,,,"account_role IN (""viewer"",""editor"",""admin"",""owner"")",the only source truth
5,created_at,timestamptz,,,N,,now(),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
other:,,,,,,,,,,,,
CREATE UNIQUE INDEX cuq_accountbook_owner ON accountbook_user_permissions(account_book_id) WHERE account_role = 'owner';    ,,,,,,,,,,,,
