Table name：,audit_events,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
No.,Name,Type,PK,FK,Nullable,Unique,Default,Index,FK constraint,Composite Unique,Check Constraint,Description
1,id,uuid,Y,,N,,gen_random_uuid(),,,,,
2,req_id,uuid,,,Y,,,Y,,,,
3,user_id,uuid,,,Y,,,Y,,,,
4,account_book_id,uuid,,,Y,,,Y,,,,
5,action,text,,,N,,,,,,,
6,target_type,text,,,Y,,,,,,,"GET,POST,DELETE,etc"
7,target_id,uuid,,,Y,,,,,,,"router path, ""/api/user/***"""
8,detail,jsonb,,,Y,,,,,,,
9,created_at,timestamptz,,,N,,now(),Y,,,,
